open_time,close_time,return_1,return_2,return_3,range_percent,body_percent,upper_wick_percent,lower_wick_percent,volume,volume_change_1,ema_fast_gap,ema_slow_gap,ema_trend_gap,ema_fast_slow_gap,ema_fast_slope,ema_slow_slope,ema_trend_slope,rsi,rsi_delta,rsi_centered,macd,macd_signal,macd_histogram,macd_histogram_delta,atr_percent,atr_change_1,distance_to_prev_high,distance_to_prev_low,three_candle_momentum,hour_sin,hour_cos,weekday_sin,weekday_cos,target_up
2026-04-12T12:00:00+00:00,2026-04-12T13:00:00+00:00,-0.005380548507000746,-0.0051625623540210155,-0.0062619579449405055,0.0059445155105908865,-0.005380409338150729,0.0004425749194510327,9.24258493575761e-05,608.12473,1.8748044954800371,-0.01246962582794675,-0.015904204094477667,0.011194652466009938,-0.0034779469638191863,-0.0013108715526502534,-0.0006487300636385898,0.00011252172972540279,0.27929698528385916,-0.04984516408972169,-0.44140602943228174,-401.5499858418043,-297.2215070867371,-104.32847875506718,-5.256212981741157,0.00483051255756342,0.01806022872058911,-0.006597758514575701,-0.004600870687051484,-0.006266483866456632,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0
2026-04-12T13:00:00+00:00,2026-04-12T14:00:00+00:00,-0.0027374651486318305,-0.008103284591614138,-0.007885895168131074,0.003938669550406702,-0.0027374651486318305,0.0008748837273602193,0.00031880638887991,708.82478,0.16559111154713282,-0.01374777853672208,-0.017881835438601584,0.008341996709237983,-0.004191683234686058,-0.0014450434105197896,-0.0007293385113210295,8.38461925014484e-05,0.2580043127841556,-0.02129267249970354,-0.4839913744316888,-437.049591371775,-325.1871239437447,-111.8624674280303,-7.533988672963119,0.004779122024848722,-0.013347074856027609,-0.008539580419580445,-0.00264528379187551,-0.007898848272678808,-0.25881904510252035,-0.9659258262890684,-0.7818314824680299,0.6234898018587334,0
2026-04-12T14:00:00+00:00,2026-04-12T15:00:00+00:00,-0.0019901418293449395,-0.004722159034078104,-0.01007729973533822,0.0055517910384893674,-0.0019901418293449395,0.002874413731827497,0.0006832669148137823,541.94034,-0.23543821365838824,-0.014235616448770113,-0.019073329334851816,0.0062718204198867165,-0.004907575244962468,-0.0014962438416134503,-0.0007778976423237295,6.303734451049794e-05,0.24350959950259948,-0.014494713281556102,-0.512980800994801,-471.13629551779013,-354.3769582585538,-116.7593372592363,-4.896869831206004,0.004843162044367169,0.011383145244000557,-0.005589770785523835,-0.0016718684428059629,-0.010108155484977515,-0.5000000000000001,-0.8660254037844386,-0.7818314824680299,0.6234898018587334,1
2026-04-12T15:00:00+00:00,2026-04-12T16:00:00+00:00,0.0020310017167894305,3.681790597243682e-05,-0.0027007480303938387,0.0046257668175109816,0.0020310017167894305,0.0005638151425484807,0.0020350665653105083,502.43194,-0.07290175151013854,-0.011081340301580018,-0.016422220227315043,0.008232137179421518,-0.005400727221957542,-0.001165097837469304,-0.000669845709124888,8.274189268375592e-05,0.2874194924889103,0.04390989298631084,-0.42516101502217934,-481.01087801945687,-379.70374221073445,-101.30713580872242,15.452201450513883,0.004818518461776893,-0.003067657696753055,-0.002823774791195393,0.0027161244695897997,-0.0026966052611873395,-0.7071067811865475,-0.7071067811865477,-0.7818314824680299,0.6234898018587334,1
2026-04-12T16:00:00+00:00,2026-04-12T17:00:00+00:00,0.0006240475833461849,0.0026563167418487497,0.0006608884654438677,0.0019518928751115874,0.0006239064357579564,0.00032761801543823327,0.0010007574404460606,259.94883,-0.4826188199739053,-0.009477061520071536,-0.01519790457635942,0.008772376168696245,-0.005775578569707004,-0.0009965912382732156,-0.0006199380741496512,8.817235828945503e-05,0.3008746037295175,0.01345511124060721,-0.39825079254096496,-479.7366520248179,-399.71032417355116,-80.02632785126673,21.280807957455693,0.004610969032507155,-0.042476119332464236,6.0198499971861426e-05,0.004705111192598345,0.0006649074707906761,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1
2026-04-12T17:00:00+00:00,2026-04-12T18:00:00+00:00,0.002879204108138061,0.0035050484518498897,0.005543168928062457,0.004245119974540526,0.002879204108138061,0.0008643457855447655,0.000509836097604643,322.7326,0.24152357215841289,-0.005997962240299168,-0.011883417157591331,0.011559307251835054,-0.005920968663763411,-0.0006309660767995276,-0.0004848022877456081,0.00011618744018242102,0.3608744200929792,0.0599998163634617,-0.2782511598140415,-456.9785928891215,-411.1639779166652,-45.8146149724563,34.21171287881043,0.004572544707921149,-0.005478031819393948,0.002550750420909051,0.004510805756198077,0.005534253408273676,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0
2026-04-12T18:00:00+00:00,2026-04-12T19:00:00+00:00,-4.034269644672696e-05,0.002838745256833991,0.0034645643522974385,0.0022193595401816067,-4.034269644672696e-05,0.001034192306632705,0.001144822909503356,176.22609,-0.45395634032632587,-0.005466152678133866,-0.011461059777691213,0.011402579427609328,-0.006027856282318347,-0.0005750536155025184,-0.0004675796252920083,0.00011461192260455523,0.3604063476727323,-0.00046807242024698325,-0.2791873046545355,-434.1694172940479,-415.76506579214174,-18.40435150190615,27.41026347055015,0.004404631352434776,-0.03676094186696432,-0.0009039071936181649,0.0033517630465444205,0.003462908995037519,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0
2026-04-12T19:00:00+00:00,2026-04-12T20:00:00+00:00,-0.0007515008931981214,-0.0007918132720724345,0.002085111044039797,0.002023234987025341,-0.0007516413600955496,0.0011947806108195604,7.62476264057383e-05,233.07874,0.322611992355956,-0.005625108239826231,-0.011730975773848342,0.010535498205932007,-0.006140407993622935,-0.0005917662621631264,-0.00047858618330308606,0.00010589561677404846,0.3512667775136605,-0.009139570159071795,-0.2974664449726791,-415.6157963315927,-415.7352119000319,0.11941556843919443,18.523767070345343,0.004237607573431995,-0.038643039850577016,-0.0018240774858006834,0.00039377281644664263,0.0020873605184932127,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1
2026-04-12T20:00:00+00:00,2026-04-12T21:00:00+00:00,0.0035345417222228635,0.0027803846177634458,0.002739929753104079,0.00677321213315737,0.0035345417222228635,0.001465891493189387,0.0017852279014788483,622.27061,1.6697870856861505,-0.0019098374513301759,-0.007917400618517345,0.013964946887368589,-0.00601905859070545,-0.00020099511403519642,-0.0003230548107818865,0.0001403709262302172,0.4250601788384493,0.07379340132478887,-0.14987964232310133,-376.3003862176265,-407.84824676355083,31.547860545924323,31.428444977485128,0.004404863027039639,0.043143359216088244,0.0015844694196698753,0.0036110646837395344,0.0027426981325780154,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1
2026-04-12T21:00:00+00:00,2026-04-12T22:00:00+00:00,0.00040078261251121723,0.003936740917599543,0.003182281560085556,0.0040495196318817974,0.00040078261251121723,0.0012328341368661115,0.002416063444856361,234.93742,-0.6224513640456201,-0.001366224314624023,-0.0072270285971481356,0.014226293799622269,-0.005868822410399411,-0.0001437924065201974,-0.0002948937710788875,0.00014299827271416617,0.4329643174319456,0.007904138593496271,-0.1340713651361088,-338.92870722556836,-394.06433885595436,55.135631630386,23.58777108446168,0.00437784271964727,-0.005735875098710323,-0.0010635498320268188,0.0057385596284389015,0.00318382344153596,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0
