open_time,close_time,return_1,range_percent,body_percent,upper_wick_percent,lower_wick_percent,volume,ema_fast_gap,ema_slow_gap,ema_trend_gap,ema_fast_slow_gap,rsi,macd,macd_signal,macd_histogram,atr_percent,hour_sin,hour_cos,weekday_sin,weekday_cos,target_up
2026-04-12T11:00:00+00:00,2026-04-12T12:00:00+00:00,0.00021916538295376845,0.0020085758001245073,0.00021916538295376845,0.0012252942028345675,0.0005641642372762905,211.53603,-0.008428955198133099,-0.011222451058066548,0.016779263988195493,-0.0028172422687994456,0.32914214937358083,-370.21165317129635,-271.1393873979703,-99.07226577332602,0.0047192902884259464,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0
2026-04-12T12:00:00+00:00,2026-04-12T13:00:00+00:00,-0.005380548507000746,0.0059445155105908865,-0.005380409338150729,0.0004425749194510327,9.24258493575761e-05,608.12473,-0.01246962582794675,-0.015904204094477667,0.011194652466009938,-0.0034779469638191863,0.27929698528385916,-401.5499858418043,-297.2215070867371,-104.32847875506718,0.00483051255756342,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0
2026-04-12T13:00:00+00:00,2026-04-12T14:00:00+00:00,-0.0027374651486318305,0.003938669550406702,-0.0027374651486318305,0.0008748837273602193,0.00031880638887991,708.82478,-0.01374777853672208,-0.017881835438601584,0.008341996709237983,-0.004191683234686058,0.2580043127841556,-437.049591371775,-325.1871239437447,-111.8624674280303,0.004779122024848722,-0.25881904510252035,-0.9659258262890684,-0.7818314824680299,0.6234898018587334,0
2026-04-12T14:00:00+00:00,2026-04-12T15:00:00+00:00,-0.0019901418293449395,0.0055517910384893674,-0.0019901418293449395,0.002874413731827497,0.0006832669148137823,541.94034,-0.014235616448770113,-0.019073329334851816,0.0062718204198867165,-0.004907575244962468,0.24350959950259948,-471.13629551779013,-354.3769582585538,-116.7593372592363,0.004843162044367169,-0.5000000000000001,-0.8660254037844386,-0.7818314824680299,0.6234898018587334,1
2026-04-12T15:00:00+00:00,2026-04-12T16:00:00+00:00,0.0020310017167894305,0.0046257668175109816,0.0020310017167894305,0.0005638151425484807,0.0020350665653105083,502.43194,-0.011081340301580018,-0.016422220227315043,0.008232137179421518,-0.005400727221957542,0.2874194924889103,-481.01087801945687,-379.70374221073445,-101.30713580872242,0.004818518461776893,-0.7071067811865475,-0.7071067811865477,-0.7818314824680299,0.6234898018587334,1
2026-04-12T16:00:00+00:00,2026-04-12T17:00:00+00:00,0.0006240475833461849,0.0019518928751115874,0.0006239064357579564,0.00032761801543823327,0.0010007574404460606,259.94883,-0.009477061520071536,-0.01519790457635942,0.008772376168696245,-0.005775578569707004,0.3008746037295175,-479.7366520248179,-399.71032417355116,-80.02632785126673,0.004610969032507155,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1
2026-04-12T17:00:00+00:00,2026-04-12T18:00:00+00:00,0.002879204108138061,0.004245119974540526,0.002879204108138061,0.0008643457855447655,0.000509836097604643,322.7326,-0.005997962240299168,-0.011883417157591331,0.011559307251835054,-0.005920968663763411,0.3608744200929792,-456.9785928891215,-411.1639779166652,-45.8146149724563,0.004572544707921149,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0
2026-04-12T18:00:00+00:00,2026-04-12T19:00:00+00:00,-4.034269644672696e-05,0.0022193595401816067,-4.034269644672696e-05,0.001034192306632705,0.001144822909503356,176.22609,-0.005466152678133866,-0.011461059777691213,0.011402579427609328,-0.006027856282318347,0.3604063476727323,-434.1694172940479,-415.76506579214174,-18.40435150190615,0.004404631352434776,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0
2026-04-12T19:00:00+00:00,2026-04-12T20:00:00+00:00,-0.0007515008931981214,0.002023234987025341,-0.0007516413600955496,0.0011947806108195604,7.62476264057383e-05,233.07874,-0.005625108239826231,-0.011730975773848342,0.010535498205932007,-0.006140407993622935,0.3512667775136605,-415.6157963315927,-415.7352119000319,0.11941556843919443,0.004237607573431995,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1
2026-04-12T20:00:00+00:00,2026-04-12T21:00:00+00:00,0.0035345417222228635,0.00677321213315737,0.0035345417222228635,0.001465891493189387,0.0017852279014788483,622.27061,-0.0019098374513301759,-0.007917400618517345,0.013964946887368589,-0.00601905859070545,0.4250601788384493,-376.3003862176265,-407.84824676355083,31.547860545924323,0.004404863027039639,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1
